# Stock, ^GSPC, AAPL, GE, PG, INTC, TM, KO, JPM, T
^SSEC,0.6113302568790249,0.766434786013652,-0.2754832836849831,-0.176191124166557,0.04980088855289599,0.7476587740336957,-0.5414934437900296,0.5524709187170743,-0.43768889716354276
^N225,0.6111047586900078,0.7887800763049003,-0.3227070248033902,-0.3766316475965928,-0.04848572162131926,0.8066383424848897,-0.6328738039893919,0.707066370925887,-0.5755770754463335
^BSESN,0.6352823451531712,0.7364038493398273,-0.678242166051618,0.12350056899252242,0.14033622471994944,0.7975337096604628,-0.5500698617773042,0.10891015433172627,-0.6209124662711489
^DJI,0.9380249258099844,0.6474047310694105,-0.0077956731953729985,0.39204008414420266,0.4238343169208606,0.5069991752844922,0.011150865630904182,0.41138184484868684,-0.06878376495954314
^IXIC,0.8333061873526548,0.7362712491063139,0.0223640939068462,-0.17677649183964814,0.21013218191934466,0.5651108865718262,-0.2264772615795504,0.7859863901424343,-0.2643750207684956
^GDAXI,0.754036568032015,0.8420923845246044,-0.3385144435344449,-0.037853759331574685,0.07692736658098494,0.8475932057582369,-0.5084547089766481,0.4535574250288737,-0.508189129012705
^FCHI,0.7229758764340308,0.8478326241821809,-0.29954628323558924,-0.23218482775698093,0.01521074923221385,0.8114034747565758,-0.5393731179398094,0.5616849861754967,-0.5217097895761272
^FTSE,0.7636446062427081,0.8322816088872355,-0.5157349592096471,0.19416374787697083,0.1657262009397198,0.8350682349537929,-0.481883852146678,0.19673055980393067,-0.47579949348107065
CNY=X,-0.6317661216976471,-0.847548613122317,0.7010284162324801,0.0006794458766313714,-0.07804237033838515,-0.867385701547836,0.6829865404876437,-0.2471961552769541,0.6761092474815453
JPY=X,0.21080254102145105,0.61663477601811,-0.4780267584083131,-0.49087530165332033,-0.021475927593445056,0.7414945248402026,-0.7502898989746589,0.4570816235235111,-0.7765333293345238
GBP=X,-0.39037391743837807,-0.6700800452713692,0.6011302204415948,0.4530255971033257,0.012957907011026299,-0.6887871440138101,0.7368026214756527,-0.48626155388970005,0.7080418641923664
EUR=X,0.06831613251189553,0.19878689997761775,0.21859086899821384,-0.2507497494600199,-0.11009413360197798,0.25017879679088334,-0.12960588904109543,0.2816218809454184,-0.16330578038403215
