# Features\Stocks, ^GSPC, AAPL, GE, PG, INTC, TM, KO, JPM, T
^SSEC,0.1310820652895636,0.13878044805726358,0.08885958369111065,0.11395918901158424,0.027510344184787504,0.09863940249932487,0.06508672911418667,0.12626209234062805,0.03310185029372502
^N225,0.0984831134518907,0.08435325644204109,0.05076137496486929,0.027380184313982387,0.043358583308248946,0.3175200101270345,0.09668951029751298,0.1336933818220629,0.13204354771014404
^BSESN,0.2602765279913254,0.20108264154799,0.1959803672536252,0.16394313395566146,0.23383157475778962,0.22195141179270175,0.20152778404854324,0.24775685836405598,0.17506425889576196
^GSPC,-0.07077850937034225,-0.06306627048990311,-0.10885996958362808,-0.04166610670143732,-0.014801429073725812,-0.005770920755651042,-0.04663425000030902,-0.06703093800511262,-0.028133780218760066
^DJI,-0.08488042549614688,-0.07550342457970591,-0.1256020015120318,-0.04753718162194771,-0.015099471352299781,-0.0278208384257046,-0.05222436157695728,-0.07461054154459705,-0.027733614359222964
^IXIC,-0.042929845578510394,-0.06153875728406376,-0.06233792244534247,-0.0214438771261995,-0.018372842506704352,0.026163626097137214,-0.026896857336074713,-0.037185200574657074,-0.02184369141360441
^GDAXI,-0.030577455323419624,-0.04562901312861517,0.00016679242638047484,-0.05839149635830491,-0.06490765031068471,0.06206923034042856,-0.060700515501891726,-0.02203397389386951,-0.01444061185840967
^FCHI,-0.021987853806470063,-0.025838806762486673,0.0005606162614315445,-0.07064628849464738,-0.04402240525181334,0.0657773861324479,-0.051131746795072645,-0.004635766863248228,-0.0222203854536385
^FTSE,-0.017487506080644026,-0.0108864376691598,-0.06939477069377649,-0.03401388590605691,-0.00943129413801779,0.07628008856152765,-0.037844458969756,-0.0304043460899282,-0.03286045568056872
CNY=X,-0.0721750527486912,-0.07070641200402039,-0.06512603048263534,-0.09416208652954947,-0.0874005337500778,0.02147541787781986,-0.04366040917443447,0.006128567697871033,-0.026041639145399302
JPY=X,-0.07985851557834003,-0.005788947847377125,-0.015276216372045891,-0.13110711912735956,-0.061198168390730265,-0.062025552204232524,-0.09026642463026446,-0.04176710416285739,-0.14126184632467978
GBP=X,-0.0924019098674286,0.007662030662228073,-0.023819392161121677,-0.022169082876772165,-0.062318898095550586,-0.006318700894041566,0.026986002015233275,-0.09794717758882161,-0.022584578034617834
EUR=X,-0.057022301894600905,0.01006516451378015,0.0031500531639302356,-0.1022964746020458,-0.0725587628181767,0.009154698088192689,-0.11827923710440498,-0.009069292145275546,-0.10835405414913796
